Trigger Category,Triggers,Emotion Groups,Usage Examples
Social Rejection,"Not being picked for team; Friends whispering without you; Being told ""you can't play""; Birthday party not invited to; Sitting alone at lunch; Being ignored when trying to join","Sadness / Sorrow, Loneliness / Isolation, Hurt, Shame / Guilt","""The other children ran to play chase, but no one asked Liska."" ""Mila and Sara whispered secrets by the well."" ""All the spots around the storyteller were taken."""
Authority/Rule Breaking,Getting in trouble with parent/teacher; Breaking household rules; Being punished by someone in power; Disappointing authority figures; Being scolded by adults; Having privileges taken away,"Shame / Guilt, Fear / Anxiety, Anger / Frustration, Sadness / Sorrow","""Papa's voice was stern: 'Liska, we don't throw stones.'"" ""The village teacher said Ren had to sit alone."" ""Mama took away the wooden toys after the mess."""
Blame/Criticism,Being blamed by friends; Someone criticizing your choices; Being told you did something wrong; Peers disagreeing with what you did; Social disapproval from equals; Being called out for mistakes,"Shame / Guilt, Hurt, Sadness / Sorrow, Anger / Frustration","""'You spilled the milk again!' Mama sighed."" ""Elder Finn shook his head at Liska's crooked stitches."" ""'Why can't you be careful like your sister?'"""
Loss/Separation,Pet gets sick/dies; Grandparent passes away; Best friend moves away; Favorite toy breaks/lost; Parent goes on business trip; Babysitter instead of parent,"Sadness / Sorrow, Loneliness / Isolation, Fear / Anxiety, Hurt","""Grandfather's chair sat empty by the hearth."" ""The little goat couldn't get up from the hay."" ""Papa packed his traveling cloak for many days."""
Performance Failure,"Can't tie shoes; Bad grade; Losing game; Can't open jar; Need help dressing; Can't reach something; Being told ""you're too little""; Messing up in front of class","Shame / Guilt, Anger / Frustration, Sadness / Sorrow, Helplessness / Powerlessness","""Liska's clay pot cracked in the kiln again."" ""Everyone else could climb the apple tree."" ""The heavy bucket handle slipped from Ren's hands."""
New/Unknown Situations,First day of school; New babysitter; Doctor/dentist visit; Sleeping at friend's house; Moving to new house; Starting new activity/sport,"Fear / Anxiety, Overwhelm / Stress, Confusion / Uncertainty","""The big market square bustled with strangers."" ""A new healer with different remedies and tools."" ""Everything smelled different in the new cottage."""
Unfairness,Sibling gets bigger piece; Someone cuts in line; Being blamed for something you didn't do; Different bedtimes; Unequal privileges; Broken promises from adults,"Anger / Frustration, Hurt, Sadness / Sorrow","""Mila got the biggest honey cake without asking."" ""The boy pushed right past Liska at the well."" ""Papa said maybe later, but later never came."""
Physical Discomfort,Being hungry before dinner; Too tired for activities; Feeling sick; Scraped knee; Loud noises; Itchy clothes; Being too hot/cold,"Anger / Frustration, Sadness / Sorrow, Overwhelm / Stress, Fear / Anxiety","""Liska's belly growled during story time."" ""The wool tunic scratched her neck."" ""The thunder made Ren cover his ears."""
Sibling Conflicts,Sibling takes your toy; Gets more attention; Breaks your stuff; Tattles on you; Gets special treatment; Invades your space,"Anger / Frustration, Jealousy / Envy, Hurt","""Mila grabbed the wooden horse from Liska's hands."" ""Baby Sara got to stay up for the harvest feast."" ""Ren's carved animals scattered across the floor."""
Achievement,Learning to read; Riding bike without training wheels; Winning a race; Getting good grade; Helping someone; Completing puzzle,"Happiness / Joy, Pride / Confidence, Excitement / Energy","""The carved piece fit perfectly in the puzzle!"" ""Liska rode the pony all by herself down the path."" ""Ren sounded out every word in the prayer book."""
Social Connection,Making new friend; Being included in game; Having playdate; Family game night; Getting hugs; Someone sharing with you,"Love / Affection, Happiness / Joy, Gratitude / Appreciation, Trust / Security","""Sara saved a place right next to her for Liska."" ""Three children called Ren's name to join their game."" ""Grandmother's arms wrapped warm around her."""
